frame,player_id,x1,y1,x2,y2,center_x,center_y,_width,_height,team,jersey_color,court_x,court_y
3,6,1681.0,669.0,1790.0,940.0,1735.5,804.5,60,140,Team_A,GREEN,74.65158,32.880497
3,12,796.0,927.0,871.0,995.0,833.5,961.0,60,140,Team_B,WHITE,34.640987,45.134796
3,14,1051.0,926.0,1123.0,994.0,1087.0,960.0,60,140,Team_A,GREEN,46.47551,44.347347
3,16,912.0,943.0,999.0,978.0,955.5,960.5,60,140,Team_A,GREEN,40.37076,44.75234
4,1,1113.0,524.0,1236.0,760.0,1174.5,642.0,60,140,EXCLUDED,UNKNOWN,48.163586,23.619942
4,8,170.0,423.0,260.0,671.0,215.0,547.0,60,140,EXCLUDED,UNKNOWN,0.27250633,18.982893
4,7,491.0,452.0,646.0,683.0,568.5,567.5,60,140,EXCLUDED,UNKNOWN,18.352362,19.762945
4,3,1298.0,598.0,1393.0,847.0,1345.5,722.5,60,140,EXCLUDED,UNKNOWN,56.645596,28.50943
4,5,829.0,404.0,918.0,592.0,873.5,498.0,60,140,EXCLUDED,UNKNOWN,32.697495,14.560502
4,9,1203.0,749.0,1294.0,913.0,1248.5,831.0,60,140,EXCLUDED,UNKNOWN,52.965775,35.69646
4,4,1546.0,550.0,1622.0,784.0,1584.0,667.0,60,140,Team_B,WHITE,67.08588,24.4652
4,10,1181.0,253.0,1239.0,463.0,1210.0,358.0,60,140,Team_A,GREEN,47.693108,4.69295
4,2,451.0,432.0,545.0,626.0,498.0,529.0,60,140,Team_B,WHITE,14.46812,17.260061
4,6,1678.0,668.0,1790.0,940.0,1734.0,804.0,60,140,Team_A,GREEN,74.58275,32.85245
4,11,1579.0,244.0,1652.0,448.0,1615.5,346.0,60,140,Team_B,WHITE,66.45899,3.489436
4,12,796.0,927.0,871.0,995.0,833.5,961.0,60,140,Team_B,WHITE,34.640987,45.134796
4,14,1051.0,926.0,1123.0,994.0,1087.0,960.0,60,140,Team_A,GREEN,46.47551,44.347347
4,16,912.0,943.0,999.0,978.0,955.5,960.5,60,140,Team_A,GREEN,40.37076,44.75234
5,7,480.0,460.0,642.0,689.0,561.0,574.5,60,140,EXCLUDED,UNKNOWN,18.045378,20.251467
5,1,1115.0,524.0,1242.0,760.0,1178.5,642.0,60,140,EXCLUDED,UNKNOWN,48.350323,23.612371
5,8,175.0,426.0,264.0,675.0,219.5,550.5,60,140,EXCLUDED,UNKNOWN,0.5409947,19.217016
5,3,1303.0,594.0,1396.0,846.0,1349.5,720.0,60,140,EXCLUDED,UNKNOWN,56.81121,28.33993
5,5,818.0,404.0,912.0,594.0,865.0,499.0,60,140,EXCLUDED,UNKNOWN,32.293896,14.640772
5,2,454.0,434.0,548.0,623.0,501.0,528.5,60,140,Team_B,WHITE,14.613701,17.220882
5,9,1202.0,749.0,1295.0,913.0,1248.5,831.0,60,140,EXCLUDED,UNKNOWN,52.965775,35.69646
5,4,1547.0,547.0,1621.0,784.0,1584.0,665.5,60,140,Team_B,WHITE,67.076385,24.368963
5,6,1673.0,667.0,1791.0,939.0,1732.0,803.0,60,140,Team_A,GREEN,74.489,32.794098
5,10,1181.0,252.0,1240.0,464.0,1210.5,358.0,60,140,Team_A,GREEN,47.716785,4.692436
5,11,1579.0,244.0,1653.0,448.0,1616.0,346.0,60,140,Team_B,WHITE,66.481804,3.4889596
5,12,796.0,927.0,871.0,995.0,833.5,961.0,60,140,Team_B,WHITE,34.640987,45.134796
5,14,1051.0,926.0,1124.0,994.0,1087.5,960.0,60,140,Team_A,GREEN,46.498596,44.345936
5,16,912.0,943.0,999.0,978.0,955.5,960.5,60,140,Team_A,GREEN,40.37076,44.75234
6,1,1123.0,525.0,1253.0,761.0,1188.0,643.0,60,140,EXCLUDED,UNKNOWN,48.800983,23.659864
6,5,799.0,403.0,911.0,594.0,855.0,498.5,60,140,EXCLUDED,UNKNOWN,31.8044,14.622114
6,7,473.0,463.0,636.0,693.0,554.5,578.0,60,140,EXCLUDED,UNKNOWN,17.755209,20.500685
6,3,1306.0,591.0,1398.0,844.0,1352.0,717.5,60,140,EXCLUDED,UNKNOWN,56.90823,28.173565
6,8,176.0,431.0,270.0,678.0,223.0,554.5,60,140,EXCLUDED,UNKNOWN,0.7631115,19.487286
6,9,1203.0,749.0,1296.0,913.0,1249.5,831.0,60,140,EXCLUDED,UNKNOWN,53.011623,35.69404
6,4,1549.0,545.0,1620.0,783.0,1584.5,664.0,60,140,Team_B,WHITE,67.08934,24.271769
6,6,1665.0,667.0,1791.0,940.0,1728.0,803.5,60,140,Team_A,GREEN,74.316086,32.834496
6,2,452.0,436.0,552.0,627.0,502.0,531.5,60,140,Team_B,WHITE,14.692691,17.42439
6,10,1181.0,253.0,1240.0,465.0,1210.5,359.0,60,140,Team_A,GREEN,47.72438,4.7598624
6,11,1579.0,244.0,1653.0,448.0,1616.0,346.0,60,140,Team_B,WHITE,66.481804,3.4889596
6,12,796.0,927.0,871.0,995.0,833.5,961.0,60,140,Team_B,WHITE,34.640987,45.134796
6,14,1050.0,926.0,1123.0,994.0,1086.5,960.0,60,140,Team_A,GREEN,46.452423,44.348755
6,16,912.0,943.0,1000.0,978.0,956.0,960.5,60,140,Team_A,GREEN,40.39413,44.75091
7,5,781.0,402.0,908.0,603.0,844.5,502.5,60,140,EXCLUDED,UNKNOWN,31.328674,14.908065
7,1,1132.0,527.0,1259.0,762.0,1195.5,644.5,60,140,EXCLUDED,UNKNOWN,49.161716,23.743814
7,7,463.0,467.0,634.0,693.0,548.5,580.0,60,140,EXCLUDED,UNKNOWN,17.475708,20.647264
7,8,184.0,438.0,275.0,683.0,229.5,560.5,60,140,EXCLUDED,UNKNOWN,1.1601573,19.890028
7,3,1307.0,586.0,1405.0,840.0,1356.0,713.0,60,140,EXCLUDED,UNKNOWN,57.06001,27.875126
7,9,1202.0,749.0,1296.0,913.0,1249.0,831.0,60,140,EXCLUDED,UNKNOWN,52.988697,35.69525
7,6,1655.0,667.0,1792.0,941.0,1723.5,804.0,60,140,Team_A,GREEN,74.12114,32.876026
7,10,1182.0,253.0,1240.0,466.0,1211.0,359.5,60,140,Team_A,GREEN,47.751854,4.793057
7,4,1551.0,544.0,1620.0,783.0,1585.5,663.5,60,140,Team_B,WHITE,67.13108,24.237799
7,11,1579.0,243.0,1653.0,448.0,1616.0,345.5,60,140,Team_B,WHITE,66.47858,3.4558222
7,12,796.0,927.0,871.0,995.0,833.5,961.0,60,140,Team_B,WHITE,34.640987,45.134796
7,2,455.0,439.0,554.0,629.0,504.5,534.0,60,140,Team_B,WHITE,14.841982,17.591124
7,14,1050.0,925.0,1124.0,994.0,1087.0,959.5,60,140,Team_A,GREEN,46.47178,44.31556
7,16,912.0,943.0,1000.0,978.0,956.0,960.5,60,140,Team_A,GREEN,40.39413,44.75091
8,5,759.0,402.0,904.0,617.0,831.5,509.5,60,140,EXCLUDED,UNKNOWN,30.756926,15.400548
8,1,1145.0,529.0,1266.0,764.0,1205.5,646.5,60,140,EXCLUDED,UNKNOWN,49.642212,23.855635
8,3,1306.0,583.0,1409.0,833.0,1357.5,708.0,60,140,EXCLUDED,UNKNOWN,57.094044,27.549528
8,7,459.0,468.0,633.0,694.0,546.0,581.0,60,140,EXCLUDED,UNKNOWN,17.360792,20.719667
8,8,188.0,445.0,286.0,686.0,237.0,565.5,60,140,EXCLUDED,UNKNOWN,1.5975231,20.221447
8,9,1202.0,749.0,1296.0,913.0,1249.0,831.0,60,140,EXCLUDED,UNKNOWN,52.988697,35.69525
8,6,1652.0,669.0,1791.0,940.0,1721.5,804.5,60,140,Team_A,GREEN,74.0361,32.91195
8,10,1183.0,252.0,1241.0,468.0,1212.0,360.0,60,140,Team_A,GREEN,47.802998,4.8257318
8,11,1579.0,244.0,1653.0,449.0,1616.0,346.5,60,140,Team_B,WHITE,66.48504,3.522095
8,2,455.0,440.0,551.0,632.0,503.0,536.0,60,140,Team_B,WHITE,14.786066,17.730331
8,4,1551.0,542.0,1620.0,783.0,1585.5,662.5,60,140,Team_B,WHITE,67.12475,24.173624
8,12,796.0,927.0,871.0,995.0,833.5,961.0,60,140,Team_B,WHITE,34.640987,45.134796
8,14,1050.0,925.0,1124.0,994.0,1087.0,959.5,60,140,Team_A,GREEN,46.47178,44.31556
8,16,912.0,943.0,1000.0,978.0,956.0,960.5,60,140,Team_A,GREEN,40.39413,44.75091
9,5,741.0,407.0,900.0,629.0,820.5,518.0,60,140,EXCLUDED,UNKNOWN,30.29516,15.991337
9,1,1152.0,530.0,1274.0,765.0,1213.0,647.5,60,140,EXCLUDED,UNKNOWN,49.998547,23.906742
9,8,195.0,450.0,297.0,685.0,246.0,567.5,60,140,EXCLUDED,UNKNOWN,2.0799062,20.342932
9,7,457.0,469.0,630.0,695.0,543.5,582.0,60,140,EXCLUDED,UNKNOWN,17.245861,20.792078
9,3,1309.0,582.0,1413.0,824.0,1361.0,703.0,60,140,EXCLUDED,UNKNOWN,57.21956,27.219728
9,9,1202.0,750.0,1296.0,912.0,1249.0,831.0,60,140,EXCLUDED,UNKNOWN,52.988697,35.69525
9,6,1646.0,671.0,1793.0,940.0,1719.5,805.5,60,140,Team_A,GREEN,73.95401,32.97931
9,4,1551.0,541.0,1620.0,784.0,1585.5,662.5,60,140,Team_B,WHITE,67.12475,24.173624
9,10,1183.0,253.0,1242.0,469.0,1212.5,361.0,60,140,Team_A,GREEN,47.83426,4.8926206
9,12,796.0,927.0,871.0,995.0,833.5,961.0,60,140,Team_B,WHITE,34.640987,45.134796
9,11,1579.0,244.0,1654.0,448.0,1616.5,346.0,60,140,Team_B,WHITE,66.504616,3.488483
9,14,1050.0,925.0,1124.0,994.0,1087.0,959.5,60,140,Team_A,GREEN,46.47178,44.31556
9,16,912.0,943.0,1003.0,978.0,957.5,960.5,60,140,Team_A,GREEN,40.464222,44.746628
9,2,456.0,441.0,552.0,651.0,504.0,546.0,60,140,Team_B,WHITE,14.932193,18.41164
9,18,193.0,539.0,223.0,572.0,208.0,555.5,60,140,EXCLUDED,UNKNOWN,0.0019652864,19.583279
10,5,736.0,411.0,898.0,637.0,817.0,524.0,60,140,EXCLUDED,UNKNOWN,30.176676,16.401606
10,1,1153.0,530.0,1276.0,765.0,1214.5,647.5,60,140,EXCLUDED,UNKNOWN,50.068306,23.903889
10,7,456.0,468.0,625.0,695.0,540.5,581.5,60,140,EXCLUDED,UNKNOWN,17.091871,20.763603
10,8,203.0,456.0,307.0,685.0,255.0,570.5,60,140,EXCLUDED,UNKNOWN,2.5721538,20.533163
10,3,1311.0,580.0,1414.0,816.0,1362.5,698.0,60,140,EXCLUDED,UNKNOWN,57.25364,26.893904
10,6,1644.0,672.0,1793.0,940.0,1718.5,806.0,60,140,Team_A,GREEN,73.91296,33.012993
10,9,1202.0,749.0,1297.0,913.0,1249.5,831.0,60,140,EXCLUDED,UNKNOWN,53.011623,35.69404
10,4,1549.0,542.0,1619.0,785.0,1584.0,663.5,60,140,Team_B,WHITE,67.06372,24.240625
10,10,1183.0,253.0,1242.0,471.0,1212.5,362.0,60,140,Team_A,GREEN,47.841846,4.960019
10,11,1579.0,245.0,1654.0,449.0,1616.5,347.0,60,140,Team_B,WHITE,66.51108,3.5547507
10,12,795.0,927.0,871.0,995.0,833.0,961.0,60,140,Team_B,WHITE,34.617355,45.136242
10,14,1050.0,925.0,1124.0,994.0,1087.0,959.5,60,140,Team_A,GREEN,46.47178,44.31556
10,2,456.0,442.0,548.0,675.0,502.0,558.5,60,140,Team_B,WHITE,14.952052,19.267817
10,16,912.0,943.0,1003.0,978.0,957.5,960.5,60,140,Team_A,GREEN,40.464222,44.746628
10,18,202.0,540.0,230.0,575.0,216.0,557.5,60,140,EXCLUDED,UNKNOWN,0.43475214,19.707155
11,5,734.0,416.0,886.0,639.0,810.0,527.5,60,140,EXCLUDED,UNKNOWN,29.86633,16.648829
11,1,1155.0,531.0,1282.0,766.0,1218.5,648.5,60,140,EXCLUDED,UNKNOWN,50.261635,23.961615
11,7,456.0,467.0,628.0,696.0,542.0,581.5,60,140,EXCLUDED,UNKNOWN,17.166513,20.760874
11,8,212.0,459.0,316.0,686.0,264.0,572.5,60,140,EXCLUDED,UNKNOWN,3.0534418,20.654335
11,6,1643.0,673.0,1791.0,938.0,1717.0,805.5,60,140,Team_A,GREEN,73.844,32.98494
11,9,1202.0,749.0,1297.0,912.0,1249.5,830.5,60,140,EXCLUDED,UNKNOWN,53.008064,35.662045
11,3,1313.0,577.0,1415.0,815.0,1364.0,696.0,60,140,EXCLUDED,UNKNOWN,57.308434,26.761724
11,4,1549.0,543.0,1620.0,786.0,1584.5,664.5,60,140,Team_B,WHITE,67.09251,24.303854
11,10,1183.0,253.0,1244.0,472.0,1213.5,362.5,60,140,Team_A,GREEN,47.89297,4.9926744
11,11,1579.0,244.0,1654.0,449.0,1616.5,346.5,60,140,Team_B,WHITE,66.50785,3.5216177
11,12,796.0,927.0,871.0,995.0,833.5,961.0,60,140,Team_B,WHITE,34.640987,45.134796
11,14,1050.0,926.0,1124.0,994.0,1087.0,960.0,60,140,Team_A,GREEN,46.47551,44.347347
11,2,455.0,447.0,546.0,660.0,500.5,553.5,60,140,Team_B,WHITE,14.829015,18.929464
11,16,912.0,943.0,1003.0,978.0,957.5,960.5,60,140,Team_A,GREEN,40.464222,44.746628
11,18,213.0,543.0,245.0,578.0,229.0,560.5,60,140,EXCLUDED,UNKNOWN,1.134478,19.89093
12,5,731.0,420.0,867.0,639.0,799.0,529.5,60,140,EXCLUDED,UNKNOWN,29.348085,16.801424
12,7,455.0,465.0,629.0,695.0,542.0,580.0,60,140,EXCLUDED,UNKNOWN,17.152353,20.659058
12,1,1161.0,530.0,1282.0,766.0,1221.5,648.0,60,140,EXCLUDED,UNKNOWN,50.397404,23.923243
12,3,1314.0,571.0,1416.0,815.0,1365.0,693.0,60,140,EXCLUDED,UNKNOWN,57.33347,26.565945
12,6,1642.0,674.0,1788.0,938.0,1715.0,806.0,60,140,Team_A,GREEN,73.758934,33.020878
12,9,1202.0,751.0,1297.0,913.0,1249.5,832.0,60,140,EXCLUDED,UNKNOWN,53.018734,35.758022
12,8,214.0,464.0,323.0,681.0,268.5,572.5,60,140,EXCLUDED,UNKNOWN,3.2835398,20.646059
12,4,1545.0,544.0,1620.0,785.0,1582.5,664.5,60,140,Team_B,WHITE,67.002686,24.307627
12,10,1183.0,254.0,1244.0,473.0,1213.5,363.5,60,140,Team_A,GREEN,47.900555,5.0600586
12,11,1579.0,244.0,1654.0,449.0,1616.5,346.5,60,140,Team_B,WHITE,66.50785,3.5216177
12,12,796.0,927.0,871.0,995.0,833.5,961.0,60,140,Team_B,WHITE,34.640987,45.134796
12,14,1050.0,926.0,1124.0,994.0,1087.0,960.0,60,140,Team_A,GREEN,46.47551,44.347347
12,2,455.0,449.0,546.0,660.0,500.5,554.5,60,140,Team_B,WHITE,14.838616,18.997677
12,16,912.0,943.0,1003.0,978.0,957.5,960.5,60,140,Team_A,GREEN,40.464222,44.746628
12,18,222.0,541.0,256.0,580.0,239.0,560.5,60,140,EXCLUDED,UNKNOWN,1.6478248,19.872871
13,7,454.0,464.0,630.0,695.0,542.0,579.5,60,140,EXCLUDED,UNKNOWN,17.147635,20.625114
13,3,1314.0,565.0,1409.0,813.0,1361.5,689.0,60,140,EXCLUDED,UNKNOWN,57.145718,26.31448
13,1,1173.0,527.0,1283.0,767.0,1228.0,647.0,60,140,EXCLUDED,UNKNOWN,50.69207,23.845572
13,5,729.0,422.0,852.0,639.0,790.5,530.5,60,140,EXCLUDED,UNKNOWN,28.94258,16.882624
13,6,1640.0,674.0,1785.0,938.0,1712.5,806.0,60,140,Team_A,GREEN,73.648895,33.026512
13,9,1202.0,751.0,1297.0,912.0,1249.5,831.5,60,140,EXCLUDED,UNKNOWN,53.01518,35.726032
13,8,220.0,469.0,329.0,685.0,274.5,577.0,60,140,EXCLUDED,UNKNOWN,3.6366427,20.944538
13,10,1181.0,254.0,1244.0,474.0,1212.5,364.0,60,140,Team_A,GREEN,47.85702,5.094794
13,4,1543.0,543.0,1618.0,785.0,1580.5,664.0,60,140,Team_B,WHITE,66.90968,24.27931
13,11,1579.0,244.0,1654.0,449.0,1616.5,346.5,60,140,Team_B,WHITE,66.50785,3.5216177
13,12,796.0,927.0,871.0,995.0,833.5,961.0,60,140,Team_B,WHITE,34.640987,45.134796
13,14,1050.0,926.0,1124.0,994.0,1087.0,960.0,60,140,Team_A,GREEN,46.47551,44.347347
13,2,454.0,454.0,547.0,657.0,500.5,555.5,60,140,Team_B,WHITE,14.848217,19.06588
13,16,912.0,943.0,1003.0,978.0,957.5,960.5,60,140,Team_A,GREEN,40.464222,44.746628
14,1,1182.0,524.0,1285.0,767.0,1233.5,645.5,60,140,EXCLUDED,UNKNOWN,50.93652,23.737183
14,5,723.0,425.0,835.0,639.0,779.0,532.0,60,140,EXCLUDED,UNKNOWN,28.394789,17.002497
14,7,455.0,463.0,631.0,694.0,543.0,578.5,60,140,EXCLUDED,UNKNOWN,17.187958,20.555412
14,3,1314.0,559.0,1407.0,807.0,1360.5,683.0,60,140,EXCLUDED,UNKNOWN,57.05845,25.928522
14,6,1637.0,674.0,1778.0,938.0,1707.5,806.0,60,140,Team_A,GREEN,73.428734,33.037785
14,8,222.0,469.0,335.0,685.0,278.5,577.0,60,140,EXCLUDED,UNKNOWN,3.8409097,20.93713
14,9,1202.0,751.0,1297.0,912.0,1249.5,831.5,60,140,EXCLUDED,UNKNOWN,53.01518,35.726032
14,10,1180.0,256.0,1245.0,475.0,1212.5,365.5,60,140,Team_A,GREEN,47.8684,5.1958556
14,4,1539.0,542.0,1618.0,785.0,1578.5,663.5,60,140,Team_B,WHITE,66.81666,24.250988
14,11,1580.0,244.0,1654.0,449.0,1617.0,346.5,60,140,Team_B,WHITE,66.53066,3.5211406
14,12,796.0,927.0,871.0,995.0,833.5,961.0,60,140,Team_B,WHITE,34.640987,45.134796
14,14,1050.0,926.0,1124.0,994.0,1087.0,960.0,60,140,Team_A,GREEN,46.47551,44.347347
14,16,912.0,943.0,1003.0,978.0,957.5,960.5,60,140,Team_A,GREEN,40.464222,44.746628
14,2,455.0,460.0,544.0,661.0,499.5,560.5,60,140,Team_B,WHITE,14.846174,19.408546
