frame,court_x,court_y,ball_movement,nearest_player,nearest_distance,second_player,second_distance,possession_player,possession_team
68,288.62,228.59,4.520553063508952,6,301.47054504002176,14,304.2684821368104,,
69,293.83,235.54,8.686000230255559,6,310.5110835010799,14,312.6321709043049,,
70,298.25,233.12,5.039126908503107,6,313.2626811814243,14,314.68318724618655,,
71,303.23,236.88,6.240032051199747,6,320.2314051537163,14,320.94081128962233,,
72,306.95,245.47,9.360902734245231,14,329.0631439838993,6,329.26814173565083,,
73,310.14799999999997,255.254,10.293389140608632,14,337.6231977931973,6,339.87472437416716,,
74,313.346,265.038,10.293389140608676,14,346.2776376950155,6,348.956106532566,,
75,316.544,274.822,10.293389140608632,14,355.03620590089093,6,358.0439884050065,,
76,319.742,284.606,10.29338914060865,14,363.83528168016227,6,367.42373323919276,,
77,322.94,294.39,10.293389140608632,14,372.74944542925186,6,376.6624161580467,,
78,329.94,300.235,9.11943117743647,14,381.8860618736549,6,385.91290580377853,,
79,336.94,306.08,9.119431177436434,14,390.9826955981247,6,395.2185614912119,,
80,338.89,308.9,3.4285419641590966,14,394.3197878352744,16,398.5816924239413,,
81,346.0,307.38,7.270660217614363,14,398.6166424804863,16,402.91677049448214,,
82,349.17,310.3,4.309907191576194,14,402.92533768624656,16,407.2241578331315,,
83,358.69,311.73,9.626801130178169,14,411.05438113256474,16,415.4056708771598,,
84,308.98,269.91,64.96150013661936,14,346.0958011781649,16,350.42726367301344,,
85,368.85,315.06,74.98626140834065,14,420.94065817876094,16,425.34821986474003,,
86,376.05,306.75,10.995276258466628,14,421.2545034002229,16,425.7681427905371,,
87,285.68,273.65,96.24108737955947,14,331.3428704323171,16,335.46733659732536,,
88,195.31,240.55,96.24108737955946,14,246.26649479334074,16,249.65958010604714,,
89,194.74,263.54,22.997065030129395,14,264.58743693121056,16,267.7154371877641,,
90,368.33,336.95,188.4741791333762,14,434.96274653115677,16,439.179665958837,,
91,377.375,290.89,46.9397020122625,14,412.6295799110957,16,417.225432041843,,
92,386.42,244.83,46.93970201226247,14,394.63960877652323,16,399.62890141738075,,
93,391.48,239.25,7.532595834106604,14,396.2319563961586,16,401.28351321247,,
94,396.54,233.67,7.532595834106604,14,397.96053287200135,16,403.0721239483358,,
95,400.53,225.23,9.335614602156603,14,397.5819683985815,4,402.5509971578647,,
96,400.65,224.23,1.0071742649611342,14,397.234908748074,4,402.3765465718848,,
97,405.05,220.07,6.055212630453226,14,399.3142918104619,4,404.34587451364285,,
98,406.72,216.07,4.334616476690879,14,399.07670928656154,4,404.11274891301565,,
99,412.22,211.05,7.446502534747425,14,401.92336371234666,4,406.9027761940897,,
100,415.89,206.4,5.923799456429949,14,403.3751715314259,4,408.1860426059263,,
101,415.37,204.76,1.720465053408534,14,402.242196466168,4,407.1296202996183,,
102,419.4,199.69,6.4765577276821755,14,403.9643985863201,4,408.612459478604,,
103,418.17,195.29,4.568686901069054,14,401.1738755091594,4,405.9495828477713,,
104,415.885,263.655,68.40317573037086,14,429.6229940893317,16,434.6210513636752,,
105,413.6,332.02,68.40317573037089,14,466.41273167398714,16,470.9453578495866,,
106,423.33,184.64,147.7008371675665,14,402.1144901003826,4,406.64178223424193,,
107,425.22,181.87,3.3533565274214525,14,402.91782043837094,4,407.42170484559847,,
108,425.27,180.14,1.7307223925286395,14,402.3989441625543,4,407.13080098523665,,
109,426.85,179.29,1.794129315294781,14,403.5803401227658,4,408.32499623269024,,
110,428.11,177.37,2.296519105080541,14,404.1319899066731,4,408.8959369433065,,
111,429.12,177.99,1.1851160280748831,14,405.2898649625565,4,410.08069487280414,,
112,430.09,179.07,1.4516542288024061,14,406.5763971320651,4,411.4329453317935,,
113,431.89,182.19,3.601999444752882,14,409.30125855795666,4,414.22138796677626,,
114,434.96,184.8,4.029516099980248,14,413.07336696011674,4,418.24834829845116,,
115,433.82,185.41,1.2929423807733857,14,412.2098253908163,4,417.4516122223777,,
116,432.04,187.57,2.7989283663573614,14,411.2849458793347,4,416.4952129447228,,
117,429.13,187.86,2.9244144713087707,14,408.68122086567485,4,413.83273973732264,,
118,430.51,188.51,1.5254179755070274,14,410.1951572925876,10,415.08072164094324,,
119,430.62,188.55,0.11704699910721605,14,410.3333140402836,10,414.9775042492179,,
120,431.16,187.6,1.092748827498824,14,410.49175319133826,10,414.4073597056399,,
121,434.9,186.81,3.8225253432776127,14,413.70479832915555,10,417.7973881182376,,
122,435.89,186.0,1.2791403363196792,14,414.377990636446,10,418.58543145840264,,
123,436.19,184.58,1.451344204522129,14,414.19126515232307,10,418.29406430685435,,
124,435.2,184.54285714285712,0.9906965185346901,14,413.2329974602416,10,417.7608877568656,,
125,434.21,184.5057142857143,0.9906965185346869,14,412.2892220950692,10,416.70458485635913,,
126,433.22,184.46857142857144,0.9906965185346323,14,411.33877994512727,4,416.21559085915703,,
127,432.23,184.43142857142857,0.9906965185346891,14,410.39547527687427,4,415.12728674264855,,
128,431.24,184.3942857142857,0.9906965185346891,14,409.45922606311245,4,414.07664079287315,,
129,430.25,184.3571428571429,0.9906965185346869,14,408.50953904071076,4,412.99517466896367,,
130,429.26,184.32,0.9906965185346901,14,407.5524886253638,4,411.9625517004296,,
131,430.21,186.08,2.0000249998437636,14,409.06583951032957,4,413.58959308895095,,
132,430.87,186.01,0.6637017402418318,14,409.66746416741285,4,414.1185361151984,,
133,431.0015384615385,188.23461538461535,2.2285008360625,14,410.5798699952167,4,415.0675982421507,,
134,431.13307692307694,190.45923076923077,2.228500836062557,14,411.47311743268796,4,416.1562594197328,,
135,431.2646153846154,192.68384615384616,2.228500836062528,14,412.37001013882275,4,416.9784156592976,,
136,431.3961538461538,194.90846153846152,2.2285008360624965,14,413.2979604745869,4,417.64847113101536,,
137,431.5276923076923,197.1330769230769,2.228500836062528,14,414.2358210427562,4,418.8257959715111,,
138,431.6592307692307,199.3576923076923,2.228500836062525,14,415.18352468448467,4,419.70464489959375,,
139,431.7907692307692,201.5823076923077,2.228500836062528,14,416.14100415105764,4,420.39739916982484,,
140,431.9223076923077,203.80692307692308,2.2285008360625316,14,417.12898515193933,4,421.1960971045104,,
145,432.58,214.93,11.14250418031261,14,422.08740019736115,4,425.55011405129255,,
146,434.06,217.24,2.7434467372267433,14,424.37742545626446,4,427.56388728421877,,
147,436.56,221.13,4.624078286534506,14,428.2528507491892,4,431.2180202788143,,
148,437.3,227.97,6.8799127901449495,14,431.7910770827106,4,434.4682621749284,,
149,437.19,232.13,4.161454072797149,14,433.47736717370526,4,435.72818904569687,,
150,438.32,240.57,8.515309741870812,14,438.20987657195417,4,440.1900686260662,,
151,437.4,246.86,6.356925357435014,14,440.2452200387499,4,441.9204515584461,,
152,440.41,253.09,6.919031724164889,14,445.8226974852655,4,447.1186184205183,,
153,442.37,261.465,8.601292054104398,14,451.50288643281925,4,452.811635216814,,
154,444.33,269.84,8.601292054104425,14,457.312479229127,4,458.4823344283398,,
155,446.1766666666667,273.02666666666664,3.6830723889468047,14,460.4945666171108,4,461.4782197419192,,
156,448.0233333333333,276.2133333333333,3.6830723889467762,14,463.66432323043375,4,464.44045629768357,,
157,449.87,279.4,3.6830723889468047,14,466.87992486794553,4,467.48547639012605,,
158,451.04,282.42,3.2387188825213387,14,469.4157667317863,4,470.0527484064454,,
159,452.06,286.5,4.205567738129994,14,472.3543618155413,4,473.07649290317886,,
160,452.79,291.53,5.082696134926792,14,475.5761416007402,4,476.4481003458316,,
161,454.35,296.01,4.743838108536185,14,479.28469155338246,4,480.0482944123961,,
162,456.52,302.48,6.824206913627413,14,484.5497093236998,4,485.3517234679798,,
163,458.14,310.5,8.181980200416016,14,490.2294151273279,4,491.27646833077705,,
164,460.75,315.38,5.5341214298206385,14,495.07814958739795,4,496.18585438033733,,
165,461.28,325.51,10.143855282879379,14,501.11656755109453,4,502.5672252308478,,
166,463.47,332.54,7.3632194045811685,14,506.91305299477347,4,508.58959227655447,,
167,464.455,341.70500000000004,9.217779016661241,14,512.9819209534406,4,514.9292182845189,,
168,465.44,350.87,9.217779016661192,14,519.1257220648874,4,521.5533664578047,,
169,467.85,343.77,7.4978730317337625,14,516.9274183965199,4,518.9232884400361,,
170,467.91,337.47,6.300285707807181,14,513.3527718794268,4,514.9399412768145,,
171,467.73,333.27,4.203855373344852,14,510.81750381882057,4,511.3886247838929,,
172,470.15,327.49,6.266163100334964,14,509.59885946858435,4,510.39220894076453,,
173,471.634,324.122,3.680445625192699,14,508.9740240727438,4,508.9779185301438,,
174,473.118,320.754,3.680445625192676,14,508.37506641250803,4,508.68376951525073,,
175,474.602,317.38599999999997,3.680445625192728,4,507.6958441644289,14,507.7833733988645,,
176,476.086,314.018,3.680445625192699,4,506.7442757050706,14,507.2363452823651,,
177,477.57,310.65,3.680445625192676,4,505.7731315944043,14,506.73435764439927,,
178,476.33,311.41,1.4543727170158602,4,505.06659319016666,14,506.080556018982,,
179,477.78,312.03,1.5769908052997337,4,506.9002575060885,14,508.2796527462727,,
180,479.33666666666664,311.2133333333333,1.7578838287997207,4,507.47048589548143,14,509.2710255440652,,
181,480.8933333333333,310.39666666666665,1.7578838287997207,4,508.3127420121881,14,510.2454054752164,,
182,482.45,309.58,1.7578838287997207,4,509.1196786520117,14,511.1454879897625,,
183,483.21,311.99,2.5269942619642225,4,511.2029781492948,14,513.0534850503332,,
184,484.18,312.68,1.1903780911962594,4,511.78297801569937,14,513.3329422596468,,
185,484.695,313.63,1.0806132518158216,4,512.7970424062798,14,514.3247958273909,,
186,485.21,314.58,1.0806132518158216,4,513.7300849548037,14,515.2612399022532,,
187,404.92,331.1,81.97191287264191,14,459.01393885790367,4,461.5664552596379,,
188,408.2418181818182,329.4206060606061,3.722209026469485,14,460.5710871349261,4,462.8619171161508,,
189,411.5636363636363,327.74121212121213,3.7222090264694345,14,462.1754075755399,4,464.2136971911702,,
190,414.88545454545454,326.0618181818182,3.722209026469536,14,463.7816026876653,4,465.64797821163626,,
191,418.2072727272728,324.38242424242424,3.722209026469587,14,465.38991727527747,4,467.3943638350019,,
192,421.52909090909094,322.70303030303035,3.722209026469409,14,467.06641848842656,4,468.76856392116804,,
193,424.8509090909091,321.0236363636364,3.722209026469485,14,468.74453164143625,4,470.17515873021216,,
194,428.1727272727273,319.34424242424245,3.722209026469485,14,470.44610986590834,4,471.4486802418003,,
195,431.49454545454546,317.6648484848485,3.722209026469485,14,472.1708994762984,4,472.8862406716627,,
220,514.54,275.68,93.05522566173721,4,513.7023861694719,14,522.1076564688461,,
221,510.07,267.64,9.19904886387718,4,505.9504719566366,14,514.5642244350948,,
222,503.4,262.09,8.677061714658963,4,497.6016726631518,14,506.1507910026326,,
223,494.48,258.63,9.567549320489501,4,488.2475229768877,14,496.6104758683517,,
224,488.5,254.87,7.06385164057118,4,481.2283382623272,14,489.59402093529565,,
225,482.09,251.65,7.173318618324458,4,474.2557058635021,14,482.4052717265922,,
226,475.59,248.54,7.20569913332496,4,467.1835146689856,14,475.1995883410751,,
227,466.91,245.6,9.164387595469712,4,458.2271958164811,14,466.09971775336584,,
228,461.35,243.09,6.10030327114972,4,451.92899727922577,14,460.00096779898985,,
229,455.79,242.8,5.567557812901454,4,446.71065254655224,14,454.8664297421907,,
