frame,ball_x,ball_y,ball_available,ball_zone,possession_player,possession_team,possessor_x,possessor_y,possessor_team,possessor_zone,event_type,previous_possession_player,previous_possession_team,possession_change,team_change,team_a_possession,team_b_possession,pass_event,pass_from_player,pass_to_player,pass_from_team,pass_to_team,pass_confidence
157,449.87,279.4,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
158,451.04,282.42,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
159,452.06,286.5,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
160,452.79,291.53,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
161,454.35,296.01,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
162,456.52,302.48,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
163,458.14,310.5,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
164,460.75,315.38,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
165,461.28,325.51,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
166,463.47,332.54,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
167,464.455,341.70500000000004,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
168,465.44,350.87,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
169,467.85,343.77,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
170,467.91,337.47,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
171,467.73,333.27,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
172,470.15,327.49,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
173,471.634,324.122,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
174,473.118,320.754,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
175,474.602,317.38599999999997,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
